datetimes,load_profile,col,y
2016-01-01 00:15:00,10.552,10.552,10.252
2016-01-01 00:30:00,10.3,10.3,10.752
2016-01-01 00:45:00,10.348,10.348,11.5
2016-01-01 01:00:00,10.6,10.6,9.8
2016-01-01 01:15:00,10.148,10.148,11.352
2016-01-01 01:30:00,11.8,11.8,11.2
2016-01-01 01:45:00,10.448,10.448,10.848
2016-01-01 02:00:00,10.0,10.0,11.548
2016-01-01 02:15:00,10.052,10.052,12.552
2016-01-01 02:30:00,10.848,10.848,12.6
2016-01-01 02:45:00,9.952,9.952,11.652
2016-01-01 03:00:00,11.152,11.152,11.352
2016-01-01 03:15:00,10.552,10.552,11.952
2016-01-01 03:30:00,10.348,10.348,11.8
2016-01-01 03:45:00,10.552,10.552,11.3
2016-01-01 04:00:00,9.952,9.952,13.1
2016-01-01 04:15:00,10.252,10.252,11.448
2016-01-01 04:30:00,10.752,10.752,11.448
2016-01-01 04:45:00,11.5,11.5,11.352
2016-01-01 05:00:00,9.8,9.8,11.0
2016-01-01 05:15:00,11.352,11.352,11.1
2016-01-01 05:30:00,11.2,11.2,11.952
2016-01-01 05:45:00,10.848,10.848,12.148
2016-01-01 06:00:00,11.548,11.548,13.3
2016-01-01 06:15:00,12.552,12.552,13.652
2016-01-01 06:30:00,12.6,12.6,11.0
2016-01-01 06:45:00,11.652,11.652,11.1
2016-01-01 07:00:00,11.352,11.352,10.8
2016-01-01 07:15:00,11.952,11.952,10.552
2016-01-01 07:30:00,11.8,11.8,11.652
2016-01-01 07:45:00,11.3,11.3,10.7
2016-01-01 08:00:00,13.1,13.1,12.0
2016-01-01 08:15:00,11.448,11.448,13.152
2016-01-01 08:30:00,11.448,11.448,14.252
2016-01-01 08:45:00,11.352,11.352,13.652
2016-01-01 09:00:00,11.0,11.0,14.252
2016-01-01 09:15:00,11.1,11.1,13.5
2016-01-01 09:30:00,11.952,11.952,12.4
2016-01-01 09:45:00,12.148,12.148,11.2
2016-01-01 10:00:00,13.3,13.3,10.752
2016-01-01 10:15:00,13.652,13.652,10.7
2016-01-01 10:30:00,11.0,11.0,11.8
2016-01-01 10:45:00,11.1,11.1,10.6
2016-01-01 11:00:00,10.8,10.8,10.8
